"","pcode","Country","name","name_alt","loc_type","loc_subtype","createdate","createby","closedate","updatedate","source","unhcr_assist","status","POINT_X","POINT_Y","adjusted_vars","type"
"45","MMRs004538","Myanmar","Dum Bung",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP123",NA,1,97.53710004,24.46099995,0,"IDP"
"46","MMRs004562","Myanmar","Pajau-Jan Mai",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP120",NA,1,97.75130004,24.83189995,0,"IDP"
"47","MMRs004563","Myanmar","Pa Kahtawng",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP126",NA,1,97.7526,24.27440008,0,"IDP"
"48","TURs004233","Turkey","Altinozu",NA,"Refugee Camp","N/A","1/1/11","orand@unhcr.org",NA,"11/1/19","UNHCR",NA,1,36.36613296,36.18492105,1,"Refugee"
"49","TURs004234","Turkey","Apaydin",NA,"Refugee Camp","N/A","1/1/11","orand@unhcr.org",NA,"11/1/19","UNHCR",NA,1,36.35259012,36.23508106,1,"Refugee"
"50","ERIs001632","Eritrea","Mekete",NA,"IDP Camp","N/A","8/15/00",NA,"2001-01-31T00:00:00Z","11/1/19","UNHCR",NA,0,38.689301,16.187901,0,"IDP"
"51","UGAs080013","Uganda","Pakelle",NA,"Refugee Camp","N/A","4/26/10","yotsov@unhcr.org",NA,"11/1/19","UNHCR",NA,0,31.89416667,3.34472222,0,"Refugee"
"52","UGAs003831","Uganda","Okollo",NA,"Refugee Camp","N/A","3/7/08",NA,"2008-03-07T00:00:00Z","11/1/19","UNHCR",NA,0,31.1597,2.6747,0,"Refugee"
"53","YEMs004078","Yemen","Al Mazrak II",NA,"IDP Camp","N/A","9/23/09",NA,"2013-10-16T00:00:00Z","11/1/19","UNHCR",NA,0,43.1758332,16.4822222,0,"IDP"
"54","UGAs001836","Uganda","Elema",NA,"Refugee Settlement","N/A","1/1/92",NA,NA,"11/1/19","UNHCR",NA,1,31.909797,3.479245,0,"Refugee"
"55","ERIs001831","Eritrea","Agrae 2",NA,"IDP Camp","N/A","11/1/00",NA,"2001-01-31T00:00:00Z","11/1/19","UNHCR",NA,0,38.819967,14.639967,0,"IDP"
"56","UGAs003680","Uganda","Layamo",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,32.9025,3.33961,1,"IDP"
"57","UGAs003689","Uganda","Omiya-Anyima",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,33.2116,3.27474,1,"IDP"
"58","UGAs003647","Uganda","Anaka",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,31.9405,2.60295,1,"IDP"
"59","CODs004959","Democratic Republic of the Congo","Tongo",NA,"IDP Camp","N/A","7/30/10","ORTEGA@unhcr.org",NA,"11/1/19","UNHCR",NA,0,29.24405162,-1.18104556,0,"IDP"
"60","CODs004960","Democratic Republic of the Congo","Kabizo",NA,"IDP Camp","N/A","7/30/10","ORTEGA@unhcr.org",NA,"11/1/19","UNHCR",NA,0,29.24218548,-1.15184314,0,"IDP"
"61","CIVs005117","Côte d'Ivoire","Eglise Reveil",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.34238419,6.74041169,0,"IDP"
"62","CIVs005118","Côte d'Ivoire","Centre Celeste",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.34238419,6.74041169,0,"IDP"
"63","BDIs002592","Burundi","Cishemeye II",NA,"Refugee Settlement","N/A","1/1/02",NA,"2004-01-01T00:00:00Z","11/1/19","UNHCR",NA,0,29.13428988,-2.89131593,1,"Refugee"
"64","AFGs003084","Afghanistan","Minaret",NA,"IDP Settlement","N/A","4/4/06",NA,"2006-04-04T00:00:00Z","11/1/19","UNHCR",NA,0,62.2475,34.3236,0,"IDP"
"65","AFGs003085","Afghanistan","Shaidayee",NA,"IDP Settlement","N/A","4/4/06",NA,"2006-04-04T00:00:00Z","11/1/19","UNHCR",NA,0,62.4167,34.294,0,"IDP"
"66","AFGs003899","Afghanistan","Chargoti",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,70.10744,33.32426,0,"IDP"
"67","AFGs003900","Afghanistan","Farm Bagh",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,70.04356,33.38027,0,"IDP"
"68","AFGs003902","Afghanistan","Khani Khwar",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,69.95021,33.38983,0,"IDP"
"69","AFGs003903","Afghanistan","Kundi Sahara",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,69.99771,33.38847,0,"IDP"
"70","AFGs003904","Afghanistan","Lower Shikh Mesri",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,70.34329,34.38318,0,"IDP"
"71","AFGs003905","Afghanistan","Mangas",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,70.01408,33.3065,0,"IDP"
"72","AFGs003906","Afghanistan","Mihtarlam",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,70.31149,34.64973,0,"IDP"
"73","PAKs001275","Pakistan","Badaber",NA,"Refugee Settlement","N/A","2/15/07",NA,NA,"11/1/19","UNHCR","Yes",1,71.5833,33.9333,0,"Refugee"
"74","IDNs001811","Indonesia","Dusun Debuklaran",NA,"Refugee Camp","N/A","12/14/99",NA,"1999-12-14T00:00:00Z","11/1/19","UNHCR",NA,0,124.95637,-9.09219,0,"Refugee"
"75","CIVs005112","Côte d'Ivoire","Eglise Assemblee De Dieu",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.50230137,6.5449805,0,"IDP"
"76","CIVs005102","Côte d'Ivoire","Bin-Houye CNPS",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-8.31023,6.7805,0,"IDP"
"77","CIVs005105","Côte d'Ivoire","Ueso BELLE-VILLE",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-8.15144,7.26132,0,"IDP"
"78","CIVs005106","Côte d'Ivoire","Foyer Polyvalent",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-8.20872,6.91606,0,"IDP"
"79","CIVs005109","Côte d'Ivoire","Mission Catholique",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.34238419,6.74041169,0,"IDP"
"80","CIVs005110","Côte d'Ivoire","Eglise Ueeso",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.50332644,6.54587899,0,"IDP"
"81","CIVs005113","Côte d'Ivoire","Camp Onuci",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.48469023,6.5293831,0,"IDP"
"82","CIVs005114","Côte d'Ivoire","Catd 1",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.48184693,6.5293826,0,"IDP"
"83","CIVs005116","Côte d'Ivoire","Eglise Catholique StJoseph",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.34238419,6.74041169,0,"IDP"
"84","UGAs003741","Uganda","Atura",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,32.3352,2.13085,1,"IDP"
"85","AFGs003898","Afghanistan","Chamtala",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,70.18881,34.34712,0,"IDP"
"86","UGAs003679","Uganda","Labuje",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,32.8804,3.31401,1,"IDP"
"87","LBRs004113","Liberia","New Yourpea",NA,"Refugee Camp","N/A","11/18/11","orand@unhcr.org","2014-03-10T00:00:00Z","11/1/19","UNHCR",NA,0,-8.50690224,6.7088892,0,"Refugee"
"88","UGAs003692","Uganda","Agoro",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,33.0275,3.79649,1,"IDP"
"89","UGAs003643","Uganda","Paicho",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,32.4496,2.90034,1,"IDP"
"90","TURs004235","Turkey","Altinözü (Karbeyaz)*",NA,"Refugee Camp","N/A","4/4/12","orand@unhcr.org",NA,"11/1/19","UNHCR",NA,0,36.27964512,35.9593953,0,"Refugee"
"91","UGAs003693","Uganda","Potika A",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,32.9124,3.70487,1,"IDP"
"92","YEMs004077","Yemen","Al Jebanah",NA,"IDP Camp","N/A","9/15/10",NA,"2014-03-03T00:00:00Z","11/1/19","UNHCR",NA,0,43.74555556,16.93416667,0,"IDP"
"93","UGAs003638","Uganda","Awer",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,32.1715,2.84265,1,"IDP"
"94","TZAs001516","United Republic of Tanzania","Kanembwa",NA,"Refugee Camp","N/A","3/1/94",NA,"1994-03-01T00:00:00Z","11/1/19","UNHCR",NA,0,30.8458,-3.50974,0,"Refugee"
"95","SSDs004116","South Sudan","Pariang",NA,"Refugee Camp","N/A","1/19/12","orand@unhcr.org",NA,"11/1/19","UNHCR",NA,0,29.98048392,9.93373467,0,"Refugee"
"96","CIVs005119","Côte d'Ivoire","Saint Jean",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.34238419,6.74041169,0,"IDP"
"97","LBRs005058","Liberia","Duogee",NA,"Refugee Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-8.51255335,6.269483,0,"Refugee"
"98","CIVs005100","Côte d'Ivoire","St Marie",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-6.45628,6.88834,0,"IDP"
"99","CIVs005104","Côte d'Ivoire","Satd2",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-8.15144,7.26132,0,"IDP"
"100","CIVs005111","Côte d'Ivoire","Nazareth",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.50332644,6.54587899,0,"IDP"
"101","CIVs005115","Côte d'Ivoire","Catd 2",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-7.47387439,6.53235801,0,"IDP"
"102","UGAs003640","Uganda","Amuru",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,31.9897,2.8362,1,"IDP"
"103","TURs004232","Turkey","Reyhanli*",NA,"Refugee Camp","N/A","4/4/12","orand@unhcr.org",NA,"11/1/19","UNHCR",NA,0,36.61861104,36.24166664,0,"Refugee"
"104","MMRs004510","Myanmar","Tat Kone Bapt. C.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP001",NA,1,97.38669996,25.41550008,0,"IDP"
"105","MMRs004508","Myanmar","Du Kahtawng Bapt.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP010",NA,1,97.38299758,25.39597409,0,"IDP"
"106","TCDs010066","Rep. of Chad","Goundiang",NA,"IDP Camp","N/A","1/1/08","sere@unhcr.org","2004-04-22T00:00:00Z","11/1/19","UNHCR",NA,0,21.671,13.1306,1,"IDP"
"107","TCDs010067","Rep. of Chad","Alacha",NA,"IDP Camp","N/A","1/1/07","sere@unhcr.org","2004-04-22T00:00:00Z","11/1/19","UNHCR",NA,0,21.5975,13.1082,1,"IDP"
"108","TCDs010068","Rep. of Chad","Mourouske",NA,"IDP Camp","N/A","1/1/07","sere@unhcr.org","2004-04-22T00:00:00Z","11/1/19","UNHCR",NA,0,21.2334,12.9036,1,"IDP"
"109","CAFs003780","Central African Republic","Sam Ouandja",NA,"Refugee Camp","N/A","7/26/07",NA,"2013-03-20T00:00:00Z","11/1/19","UNHCR",NA,0,23.227364,8.5304,0,"Refugee"
"110","CAFs004580","Central African Republic","Obo",NA,"Refugee Camp","N/A","1/1/90",NA,NA,"11/1/19","UNHCR",NA,1,26.50001112,5.39999855,0,"Refugee"
"111","MMRs004541","Myanmar","Woi Chyai",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP116",NA,1,97.546894,24.755253,0,"IDP"
"112","MMRs004542","Myanmar","Je Yang Hka",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP121",NA,1,97.56820008,24.68820004,0,"IDP"
"113","AFGs003907","Afghanistan","Siasang",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,70.33375,34.43806,0,"IDP"
"114","MMRs004544","Myanmar","Hpun Lum Yang",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP122",NA,1,97.57310004,24.66149994,0,"IDP"
"115","MMRs004556","Myanmar","Maga Yang",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP119",NA,1,97.71519996,24.98019997,0,"IDP"
"116","UGAs001852","Uganda","Maaji I",NA,"Refugee Settlement","N/A","2/1/97",NA,NA,"11/1/19","UNHCR",NA,1,31.63271384,3.25499571,0,"Refugee"
"117","UGAs001854","Uganda","Mungula 2",NA,"Refugee Settlement","N/A","9/1/96",NA,NA,"11/1/19","UNHCR",NA,1,31.8157116,3.1579196,0,"Refugee"
"118","UGAs001855","Uganda","Mungola Aliwara",NA,"Refugee Settlement","N/A","8/1/96",NA,"1996-08-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.810067,3.161934,0,"Refugee"
"119","UGAs001865","Uganda","Point G",NA,"Refugee Settlement","N/A","1/15/04",NA,"2004-01-15T00:00:00Z","11/1/19","UNHCR",NA,0,31.300982,3.25414,0,"Refugee"
"120","UGAs001866","Uganda","Point J",NA,"Refugee Settlement","N/A","1/15/04",NA,"2004-01-15T00:00:00Z","11/1/19","UNHCR",NA,0,31.277979,3.268388,0,"Refugee"
"121","UGAs001876","Uganda","Ariwa II",NA,"Refugee Settlement","N/A","11/1/94",NA,"1994-11-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.317673,3.160137,0,"Refugee"
"122","UGAs001877","Uganda","Ariwa IV",NA,"Refugee Settlement","N/A","8/1/95",NA,"1995-08-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.29693,3.153041,0,"Refugee"
"123","UGAs001884","Uganda","Eden I",NA,"Refugee Settlement","N/A","3/1/95",NA,"1995-03-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.325553,3.064121,0,"Refugee"
"124","UGAs001885","Uganda","Eden II",NA,"Refugee Settlement","N/A","3/1/95",NA,"1995-03-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.314335,3.058026,0,"Refugee"
"125","UGAs001887","Uganda","Eden III",NA,"Refugee Settlement","N/A","3/1/95",NA,"1995-03-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.319232,3.050437,0,"Refugee"
"126","UGAs001888","Uganda","Matangacia II",NA,"Refugee Settlement","N/A","4/1/95",NA,"1995-04-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.342241,3.051242,0,"Refugee"
"127","UGAs001889","Uganda","Matangacia III",NA,"Refugee Settlement","N/A","6/1/95",NA,"1995-06-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.342139,3.047552,0,"Refugee"
"128","UGAs001890","Uganda","Matangacia I",NA,"Refugee Settlement","N/A","9/1/94",NA,"1994-09-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.350106,3.043567,0,"Refugee"
"129","UGAs001891","Uganda","Kaligo III",NA,"Refugee Settlement","N/A","7/1/99",NA,"1999-07-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.386775,3.029642,0,"Refugee"
"130","UGAs001892","Uganda","Kaligo I",NA,"Refugee Settlement","N/A","7/1/97",NA,"1997-07-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.388601,3.017752,0,"Refugee"
"131","UGAs001893","Uganda","Kaligo II",NA,"Refugee Settlement","N/A","7/1/97",NA,"1997-07-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.381176,3.038686,0,"Refugee"
"132","UGAs001894","Uganda","Walope",NA,"Refugee Settlement","N/A","7/1/97",NA,"1997-07-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.362023,3.027434,0,"Refugee"
"133","UGAs001895","Uganda","Wanyange I",NA,"Refugee Settlement","N/A","5/1/95",NA,"1995-05-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.347685,3.102942,0,"Refugee"
"134","UGAs001896","Uganda","Wanyange II",NA,"Refugee Settlement","N/A","5/1/95",NA,"1995-05-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.360165,3.107347,0,"Refugee"
"135","UGAs001897","Uganda","Ossa I",NA,"Refugee Settlement","N/A","7/1/97",NA,"1997-07-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.384474,3.065134,0,"Refugee"
"136","UGAs001904","Uganda","Tika V",NA,"Refugee Settlement","N/A","4/1/95",NA,"1995-04-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.397636,3.118185,0,"Refugee"
"137","UGAs001905","Uganda","Tika VI",NA,"Refugee Settlement","N/A","4/1/95",NA,"1995-04-01T00:00:00Z","11/1/19","UNHCR",NA,0,31.406704,3.118768,0,"Refugee"
"138","UGAs001928","Uganda","Mukarange",NA,"Refugee Settlement","N/A","10/3/00",NA,"2000-10-03T00:00:00Z","11/1/19","UNHCR",NA,0,30.771111,1.169722,0,"Refugee"
"139","UGAs001929","Uganda","Kagoma",NA,"Refugee Settlement","N/A","10/3/00",NA,"2000-10-03T00:00:00Z","11/1/19","UNHCR",NA,0,30.754167,1.159722,0,"Refugee"
"140","UGAs001930","Uganda","Munsiisa",NA,"Refugee Settlement","N/A","10/3/00",NA,"2000-10-03T00:00:00Z","11/1/19","UNHCR",NA,0,30.754167,1.159444,0,"Refugee"
"141","UGAs001931","Uganda","Kasonga",NA,"Refugee Settlement","N/A","10/3/00",NA,"2000-10-03T00:00:00Z","11/1/19","UNHCR",NA,0,30.670278,1.189444,0,"Refugee"
